#
#													
Paper	the	by	upon	on	would	there	while	whilst	fully	kind	voice	consequently	decision
H69	10.94944	0.6911604	0.4365224	0.1818843	0.9821753	0.3273918	0.03637686	0	0	0.03637686	0	0	H
H70	9.209667	0.4898759	0.1959504	0.4572175	0.3592423	0.4245591	0.06531679	0	0	0	0	0	H
H71	10.14068	0.8792497	0.1758499	0.4103165	0.9378664	0.1758499	0.05861665	0	0.05861665	0.05861665	0	0	H
H72	8.627451	0.8333333	0.245098	0.2941176	1.22549	0.4411765	0.09803922	0	0.04901961	0	0	0	H
H73	8.64934	1.150405	0.5538986	0.2130379	1.23562	0.2130379	0	0	0	0.04260758	0	0	H
H74	10.2	0.2	0.3	0.4	0.9	0.4	0	0	0	0.2	0	0	H
H75	10.60762	0.8238929	0.2574665	0.2574665	1.390319	0.1544799	0.2574665	0	0	0.05149331	0	0	H
H76	8.648369	1.035733	0.4142931	0.2071466	1.191093	0.3107198	0.05178664	0	0	0.05178664	0	0	H
H77	9.234694	0.8163265	0.5102041	0.1530612	1.581633	0.1530612	0.05102041	0	0	0	0	0	H
H78	10.14589	0.8289125	0.2984085	0.331565	0.6299735	0.397878	0	0	0.0331565	0.0331565	0.0331565	0	H
H79	8.521058	0.3917728	0.1958864	0.489716	0.489716	0.2938296	0	0	0	0	0	0	H
H80	10.32232	0.5303958	0.244798	0.3671971	0.4079967	0.2855977	0	0	0	0.08159935	0	0	H
H81	9.894459	0.8443272	0.3430079	0.4221636	0.5540897	0.5013193	0.05277045	0.02638522	0	0	0.02638522	0	H
H82	10.82844	0.2609263	0.2609263	0	0.7175473	0	0	0	0	0	0	0	H
H83	8.292512	1.382085	0.349895	0.3149055	0.8397481	0.3848845	0.06997901	0	0	0.0349895	0	0.0349895	H
H84	9.283346	0.7141035	0.2805407	0.510074	0.3825555	0.4080592	0.0255037	0	0	0.0255037	0	0.0255037	H
H85	9.022556	0.4135338	0.4511278	0.6390977	0.2255639	0.3759398	0	0	0.03759398	0	0	0.03759398	H
#													
# 14 papers written by Madison													
#													
M10	8.636212	1.300433	0	0.6002001	0.2000667	0.2000667	0	0	0	0	0.03334445	0.03334445	M
M14	9.302326	0.8372093	0	0.7906977	0.2325581	0	0	0.04651163	0	0	0.09302326	0.09302326	M
M37	8.41639	1.10742	0.03691399	0.7013658	0.2583979	0.07382798	0	0.03691399	0.07382798	0	0	0.07382798	M
M38	8.104851	1.114794	0.1205182	0.4519434	0.4519434	0.09038867	0	0.06025911	0.06025911	0	0	0.03012956	M
M39	11.43515	1.266309	0	0.9593246	0.3069839	0	0	0	0	0	0	0	M
M40	9.688122	1.824818	0	0.4313205	0.199071	0.132714	0	0	0.0331785	0	0.066357	0	M
M41	9.429701	0.9034444	0	0.7622812	0.2540937	0.02823264	0	0.02823264	0.05646527	0.02823264	0	0	M
M42	9.372747	1.11752	0.07209805	0.7930786	0.5407354	0.1081471	0	0	0.03604903	0	0.03604903	0.03604903	M
M43	10.32973	1.371462	0	0.9629413	0.3501605	0.05836008	0	0.02918004	0.02918004	0	0.02918004	0.02918004	M
M44	10.80801	0.9668508	0	0.9668508	1.001381	0.1381215	0	0.06906077	0.1381215	0	0	0.03453039	M
M45	13.04348	0.5198488	0	0.4725898	0.5198488	0.1417769	0	0.09451796	0.04725898	0	0.09451796	0.1417769	M
M46	11.51492	0.8033665	0	1.224178	1.109411	0	0	0.07651109	0.03825555	0	0	0	M
M47	11.86564	1.533406	0	0.7301935	0.1460387	0.109529	0	0	0.109529	0	0	0	M
M48	8.978495	1.505376	0	0.8602151	0.1612903	0.1075269	0	0	0.05376344	0	0	0	M
#													
# 5 papers written by Jay													
#													
J2	6.306306	0.6006006	0.06006006	0.4804805	0.3003003	0	0.06006006	0	0.1201201	0.1201201	0.06006006	0	J
J3	6.323836	1.250869	0	0.4169562	0.1389854	0.0694927	0	0	0	0.0694927	0	0.2084781	J
J4	5.134474	0.8557457	0	0.6723716	1.03912	0.1833741	0	0	0	0	0.06112469	0	J
J5	4.786836	0.7479432	0	0.3739716	2.76739	0	0	0	0	0.07479432	0	0	J
J64	7.458803	1.300954	0	0.6071119	0.3035559	0.2601908	0.04336513	0	0	0	0	0.04336513	J
#													
# 12 disputed papers (written by Madison)													
#																										
Q49	10.69259	0.9113001	0	0.9720535	1.336574	0.1215067	0	0.06075334	0	0	0.06075334	0.06075334	M
Q50	8.991826	0.9990917	0.09082652	0.9990917	0.9990917	0	0	0	0	0	0	0	M
Q51	10.44932	1.201672	0	1.097179	0.4702194	0.2089864	0	0.1044932	0	0	0.0522466	0.1044932	M
Q52	9.978308	1.193059	0	1.030369	0.4338395	0	0	0	0	0	0	0	M
Q53	8.86836	1.431871	0	0.369515	0.2771363	0.09237875	0	0.04618938	0	0	0	0	M
Q54	10.12024	1.302605	0.1002004	0.9519038	0.3006012	0.0501002	0	0	0.0501002	0	0	0.1002004	M
Q55	8.810573	0.6852668	0	0.4405286	0.4894763	0.2447381	0	0	0	0	0	0	M
Q56	8.538899	0.6325111	0	0.56926	0.2530044	0.2530044	0	0.06325111	0.06325111	0.06325111	0	0	M
Q57	9.700816	1.133273	0	0.8612874	0.2719855	0.1813237	0	0.1359927	0	0	0	0	M
Q58	10.14423	1.057692	0	0.8653846	0.5769231	0.09615385	0	0	0	0	0	0.04807692	M
Q62	7.959782	1.173021	0	0.7959782	0.209468	0	0	0	0	0	0.04189359	0.1256808	M
Q63	9.476802	1.678184	0	0.6581112	0.3619612	0.2632445	0	0.03290556	0	0	0	0	M
